Datum,Inflationsrate,Heimspiel,Weihnachtsmarkt,Markt,Faehrverkaehr,Kreuzfahrverkehr,Temperatur,Monat,Jahreszeit,Frühling,Sommer,Herbst,Winter,Temp_warm,Temp_cold,Temp_average,Warengruppe,Umsatz,Wochentag,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Brot_W1,Broetchen_W2,Croissant_W3,Konditorei_W4,Kuchen_W5,Saisonbrot_W6
2013-07-01,1.53,0,0,0,1.576.718,419.447,17.8375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,148.828353112183,Monday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,1.53,0,0,0,1.576.718,419.447,17.8375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,535.856284785361,Monday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2013-07-01,1.53,0,0,0,1.576.718,419.447,17.8375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,201.198425690037,Monday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-07-01,1.53,0,0,0,1.576.718,419.447,17.8375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,65.890168799361,Monday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2013-07-01,1.53,0,0,0,1.576.718,419.447,17.8375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,317.475874933038,Monday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-07-02,1.53,0,0,0,1.576.718,419.447,17.3125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,383.628681612577,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-07-02,1.53,0,0,0,1.576.718,419.447,17.3125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,265.261253994438,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-07-02,1.53,0,0,0,1.576.718,419.447,17.3125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,74.5439171827412,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2013-07-02,1.53,0,0,0,1.576.718,419.447,17.3125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,159.79375714468,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013-07-02,1.53,0,0,0,1.576.718,419.447,17.3125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,546.780787392297,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
