Datum,Warengruppe,Umsatz,Temperatur,Monat,Jahreszeit,Frühling,Sommer,Herbst,Winter,Temp_warm,Temp_cold,Temp_average
2013-07-01,1,148.828353112183,17.8375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-02,1,159.79375714468,17.3125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-03,1,111.885593514353,21.075,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-04,1,168.864940979931,18.85,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-05,1,171.280754117955,19.975,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-06,1,174.552359998476,18.9625,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-07,1,92.6377553788373,21.375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-08,1,135.500244042392,22.725,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-09,1,136.048382778344,23.275,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-10,1,135.132314289581,19.6875,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-11,1,138.549392636714,21.375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-12,1,101.447511461298,20.2875,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-13,1,141.233309883732,20.125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-14,1,112.524365708762,17.6875,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-15,1,161.264677322182,18.7375,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-16,1,116.821358174215,21.1875,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-17,1,150.572919592838,22.5125,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-18,1,101.90072129658,23.25,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-07-19,1,161.63511518654,22.475,7.0,Sommer,0.0,1.0,0.0,0.0,0.0,0.0,1.0
