id,Datum,Warengruppe,Umsatz
1808011,2018-08-01,1,143.5448879165665
1808021,2018-08-02,1,160.6772780352122
1808031,2018-08-03,1,152.2028201840967
1808041,2018-08-04,1,171.60719193784334
1808051,2018-08-05,1,103.73498184004248
1808061,2018-08-06,1,159.70315060058726
1808071,2018-08-07,1,144.03282654158835
1808081,2018-08-08,1,143.5448879165665
1808091,2018-08-09,1,160.6772780352122
1808101,2018-08-10,1,153.792864278369
1808111,2018-08-11,1,167.49901003315327
1808121,2018-08-12,1,98.7705250158449
1808131,2018-08-13,1,159.70315060058726
1808141,2018-08-14,1,145.62287063586064
1808151,2018-08-15,1,145.13493201083878
1808161,2018-08-16,1,160.6772780352122
1808171,2018-08-17,1,153.792864278369
1808181,2018-08-18,1,173.19723603211563
1808191,2018-08-19,1,88.96412806028712
1808201,2018-08-20,1,144.93229682083188
1808211,2018-08-21,1,130.85201685610525
1808221,2018-08-22,1,128.77403413681114
1808231,2018-08-23,1,147.49646834972913
1808241,2018-08-24,1,139.0220104986136
1808251,2018-08-25,1,152.7281562533979
1808261,2018-08-26,1,88.96412806028712
1808271,2018-08-27,1,144.93229682083188
1808281,2018-08-28,1,130.85201685610525
1808291,2018-08-29,1,130.3640782310834
1808301,2018-08-30,1,141.79824235076677
1808311,2018-08-31,1,139.0220104986136
1809011,2018-09-01,1,146.05598718839747
1809021,2018-09-02,1,76.59373299632432
1809031,2018-09-03,1,127.5974449326715
1809041,2018-09-04,1,118.48162179214243
1809051,2018-09-05,1,117.9936831671206
1809061,2018-09-06,1,135.12607328576632
1809071,2018-09-07,1,126.65161543465082
1809081,2018-09-08,1,145.31770075808498
1809091,2018-09-09,1,75.85544656601184
1809101,2018-09-10,1,132.56190175686908
1809111,2018-09-11,1,120.07166588641472
1809121,2018-09-12,1,119.5837272613929
1809131,2018-09-13,1,135.12607328576632
1809141,2018-09-14,1,128.2416595289231
1809151,2018-09-15,1,145.31770075808498
1809161,2018-09-16,1,75.85544656601184
1809171,2018-09-17,1,131.8236153265566
1809181,2018-09-18,1,117.74333536182996
1809191,2018-09-19,1,117.25539673680812
1809201,2018-09-20,1,134.38778685545384
1809211,2018-09-21,1,128.2416595289231
1809221,2018-09-22,1,142.68157445847214
1809231,2018-09-23,1,78.1837770905966
1809241,2018-09-24,1,134.15194585114136
1809251,2018-09-25,1,120.07166588641472
1809261,2018-09-26,1,119.5837272613929
1809271,2018-09-27,1,135.12607328576632
1809281,2018-09-28,1,121.9391941235004
1809291,2018-09-29,1,146.30802270144463
1809301,2018-09-30,1,76.84576850937148
1810011,2018-10-01,1,147.5847910496716
1810021,2018-10-02,1,133.504511084945
1810031,2018-10-03,1,133.01657245992314
1810041,2018-10-04,1,150.14896257856884
1810051,2018-10-05,1,140.08446063318107
1810061,2018-10-06,1,161.07887648119998
1810071,2018-10-07,1,91.61662228912684
1810081,2018-10-08,1,148.92279963089672
1810091,2018-10-09,1,134.8425196661701
1810101,2018-10-10,1,134.35458104114826
1810111,2018-10-11,1,149.89692706552168
1810121,2018-10-12,1,141.4224692144062
1810131,2018-10-13,1,160.08855453784034
1810141,2018-10-14,1,90.6263003457672
1810151,2018-10-15,1,147.33275553662443
1810161,2018-10-16,1,133.2524755718978
1810171,2018-10-17,1,132.76453694687598
1810181,2018-10-18,1,151.48697115979394
1810191,2018-10-19,1,143.01251330867845
1810201,2018-10-20,1,140.3532439338874
1810211,2018-10-21,1,66.63036191180188
1810221,2018-10-22,1,124.9268611969314
1810231,2018-10-23,1,110.8465812322048
1810241,2018-10-24,1,110.35864260718294
1810251,2018-10-25,1,127.49103272582865
1810261,2018-10-26,1,119.01657487471316
